;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Number of member accounts by member gender;;;;Members' benefits by member gender;;;;Number of member accounts by member age bracket (female);;;;;;;;;;;;Members' benefits by member age bracket (female);;;;;;;;;;;;Number of member accounts by member age bracket (male);;;;;;;;;;;;Members' benefits by member age bracket (male);;;;;;;;;;;
Fund name;RSE Regulatory classification;Fund type;RSE Membership base;Fund's RSE licensee;RSE licensee ownership type;RSE licensee profit status;Total number of member accounts at the end of period;Total members' benefits at end of period;Number of members accounts : female;Number of members accounts : male;Number of members : Intersex or Indeterminate;Number of members : Not stated or inadequately described;Members' benefits : female;Members' benefits : male;Members' benefits : Intersex or Indeterminate;Members' benefits : Not stated or inadequately described;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available
;;;;;;;;($'000);;;;;($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000)
Advance Retirement Suite;Public offer;Retail;General base;BT Funds Management Limited;Financial services corporation ownership;For profit status;4257;242016;2022;2235;;;103210;138806;;;;26;134;311;453;420;203;122;99;188;66;;;356;4102;13062;24261;24142;13422;8437;5748;7755;1925;;;25;148;283;398;481;338;197;118;171;76;;;786;5067;16385;25337;33835;24265;14105;8389;8522;2115;
Alcoa of Australia Retirement Plan;Non public offer;Corporate;Corporate base;Alcoa of Australia Retirement Plan Pty Ltd;Employer sponsor (non-public sector) ownership;Not for profit status;5575;2110399;943;4632;;;245338;1865061;;;*;93;181;128;115;133;130;85;40;*;*;;*;7460;30016;31088;38107;50546;42968;26997;12776;*;*;;*;333;668;600;718;884;638;366;221;*;*;;*;32295;144855;199498;316700;496428;368924;180194;90768;*;*;
AMG Super;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;26631;1207910;16401;10230;;;536031;671879;;;232;4497;5767;1873;1433;1062;715;422;238;141;21;;4895;48835;97839;48448;49726;60592;66048;76966;51201;26731;4750;;404;2308;2972;1256;1032;763;664;414;212;167;38;;1355;57168;133919;73901;77101;74967;80670;80669;46792;38600;6737;
AMP Eligible Rollover Fund;Public offer;Retail - ERF;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;344498;1314606;144799;199699;;;494021;820585;;;479;7521;46384;30196;20586;15797;10860;6958;3807;1684;85;442;678;15744;121120;118700;93491;72864;40712;19256;6115;2226;164;2951;549;9207;52064;38194;30367;26255;18665;12370;6915;3900;268;945;585;15820;123236;146850;144130;157326;120133;80376;21719;6162;1443;2805
AMP Retirement Trust;Public offer;Retail;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;290026;16657866;122790;167236;;;6365540;10292326;;;14905;29087;21548;9724;8175;8061;10505;10464;7365;2791;165;;44984;281145;687444;489710;507081;655011;1100326;1294072;943531;346315;15921;;20147;48199;19867;12459;10671;11404;16388;13991;9771;4084;255;;68625;431727;1250362;892699;958048;1239739;1869105;1726314;1272513;553326;29868;
AMP Superannuation Savings Trust;Public offer;Retail;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;1501221;55345260;571617;864597;;65007;14917774;31306340;;9121146;38306;96558;160055;82896;69464;56041;34572;16981;9401;6654;689;;155884;1278064;3385392;2410901;2297268;2100361;1294068;729629;611032;604615;50560;;48579;130124;220995;121399;111901;101393;67284;31928;16816;12352;1826;;259529;2095692;6208037;4861673;5213717;5399252;3503642;1606349;999567;1051412;107470;
ANZ Australian Staff Superannuation Scheme;Non public offer;Corporate;Corporate base;ANZ Staff Superannuation (Australia) Pty. Limited;Employer sponsor (non-public sector) ownership;Not for profit status;31068;4504032;17170;13898;;;1972597;2531435;;;461;3760;5184;2314;1896;1597;1203;552;125;*;*;;4207;163906;470004;308637;320099;325007;241629;106237;19856;*;*;;406;2887;4723;1978;1531;1153;632;385;155;*;*;;3231;141293;534732;394203;433111;473184;282759;181110;72163;*;*;
