;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Number of member accounts by member gender;;;;Members' benefits by member gender;;;;Number of member accounts by member age bracket (female);;;;;;;;;;;;Members' benefits by member age bracket (female);;;;;;;;;;;;Number of member accounts by member age bracket (male);;;;;;;;;;;;Members' benefits by member age bracket (male);;;;;;;;;;;
Fund name;RSE Regulatory classification;Fund type;RSE Membership base;Fund's RSE licensee;RSE licensee ownership type;RSE licensee profit status;Total number of member accounts at the end of period;Total members' benefits at end of period;Number of members accounts : female;Number of members accounts : male;Number of members : Intersex or Indeterminate;Number of members : Not stated or inadequately described;Members' benefits : female;Members' benefits : male;Members' benefits : Intersex or Indeterminate;Members' benefits : Not stated or inadequately described;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available
;;;;;;;;($'000);;;;;($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000)
Advance Retirement Suite;Public offer;Retail;General base;BT Funds Management Limited;Financial services corporation ownership;For profit status;4 257;242 016;2 022;2 235;;;103 210;138 806;;;;26;134;311;453;420;203;122;99;188;66;;;356;4 102;13 062;24 261;24 142;13 422;8 437;5 748;7 755;1 925;;;25;148;283;398;481;338;197;118;171;76;;;786;5 067;16 385;25 337;33 835;24 265;14 105;8 389;8 522;2 115;
Alcoa of Australia Retirement Plan;Non public offer;Corporate;Corporate base;Alcoa of Australia Retirement Plan Pty Ltd;Employer sponsor (non-public sector) ownership;Not for profit status;5 575;2 110 399;943;4 632;;;245 338;1 865 061;;;*;93;181;128;115;133;130;85;40;*;*;;*;7 460;30 016;31 088;38 107;50 546;42 968;26 997;12 776;*;*;;*;333;668;600;718;884;638;366;221;*;*;;*;32 295;144 855;199 498;316 700;496 428;368 924;180 194;90 768;*;*;
AMG Super;Public offer;Retail;General base;Equity Trustees Superannuation Limited;Financial services corporation ownership;For profit status;26 631;1 207 910;16 401;10 230;;;536 031;671 879;;;232;4 497;5 767;1 873;1 433;1 062;715;422;238;141;21;;4 895;48 835;97 839;48 448;49 726;60 592;66 048;76 966;51 201;26 731;4 750;;404;2 308;2 972;1 256;1 032;763;664;414;212;167;38;;1 355;57 168;133 919;73 901;77 101;74 967;80 670;80 669;46 792;38 600;6 737;
AMP Eligible Rollover Fund;Public offer;Retail - ERF;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;344 498;1 314 606;144 799;199 699;;;494 021;820 585;;;479;7 521;46 384;30 196;20 586;15 797;10 860;6 958;3 807;1 684;85;442;678;15 744;121 120;118 700;93 491;72 864;40 712;19 256;6 115;2 226;164;2 951;549;9 207;52 064;38 194;30 367;26 255;18 665;12 370;6 915;3 900;268;945;585;15 820;123 236;146 850;144 130;157 326;120 133;80 376;21 719;6 162;1 443;2 805
AMP Retirement Trust;Public offer;Retail;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;290 026;16 657 866;122 790;167 236;;;6 365 540;10 292 326;;;14 905;29 087;21 548;9 724;8 175;8 061;10 505;10 464;7 365;2 791;165;;44 984;281 145;687 444;489 710;507 081;655 011;1 100 326;1 294 072;943 531;346 315;15 921;;20 147;48 199;19 867;12 459;10 671;11 404;16 388;13 991;9 771;4 084;255;;68 625;431 727;1 250 362;892 699;958 048;1 239 739;1 869 105;1 726 314;1 272 513;553 326;29 868;
AMP Superannuation Savings Trust;Public offer;Retail;General base;AMP Superannuation Limited;Financial services corporation ownership;For profit status;1 501 221;55 345 260;571 617;864 597;;65 007;14 917 774;31 306 340;;9 121 146;38 306;96 558;160 055;82 896;69 464;56 041;34 572;16 981;9 401;6 654;689;;155 884;1 278 064;3 385 392;2 410 901;2 297 268;2 100 361;1 294 068;729 629;611 032;604 615;50 560;;48 579;130 124;220 995;121 399;111 901;101 393;67 284;31 928;16 816;12 352;1 826;;259 529;2 095 692;6 208 037;4 861 673;5 213 717;5 399 252;3 503 642;1 606 349;999 567;1 051 412;107 470;
ANZ Australian Staff Superannuation Scheme;Non public offer;Corporate;Corporate base;ANZ Staff Superannuation (Australia) Pty. Limited;Employer sponsor (non-public sector) ownership;Not for profit status;31 068;4 504 032;17 170;13 898;;;1 972 597;2 531 435;;;461;3 760;5 184;2 314;1 896;1 597;1 203;552;125;*;*;;4 207;163 906;470 004;308 637;320 099;325 007;241 629;106 237;19 856;*;*;;406;2 887;4 723;1 978;1 531;1 153;632;385;155;*;*;;3 231;141 293;534 732;394 203;433 111;473 184;282 759;181 110;72 163;*;*;
